timestamp;portfolio_original_compound_return;portfolio_risk_compound_return;portfolio_sharpe_compound_return
2020-11-25;1.0;1.0;1.0
2020-11-27;0.9998092499272354;0.996310316535594;1.0013962008261719
2020-11-30;0.992521613403142;0.9810007771047623;0.9931674099986108
2020-12-01;1.007152505183059;0.9910447620522329;1.0068806012050453
2020-12-02;1.0119402810283114;0.9956160139314651;1.0100344598744724
2020-12-03;1.0119770719778103;1.002344216364506;1.008089135476587
2020-12-04;1.0184071409536255;1.0181419351527226;1.0131494759704478
2020-12-07;1.0157997886512455;1.0062523933396932;1.0110251688865504
2020-12-08;1.020032979509892;1.0097783387374064;1.0163737620808735
2020-12-09;1.0095319796326603;1.0079174885249045;1.0029187209363373
2020-12-10;1.007475987540369;1.0022822126163196;0.9992904168946751
2020-12-11;1.0093345761537467;1.006258111262271;1.0041604634577257
2020-12-14;1.0063702315126501;1.0034370073089682;1.0029139437130616
2020-12-15;1.0233579882148318;1.0143592372968093;1.0150939929673557
2020-12-16;1.026436873113599;1.0076335232476121;1.0247078739422406
2020-12-17;1.0269192835548806;1.0086192358899877;1.0247249042729234
2020-12-18;1.0236840564911873;1.013183494416371;1.021137379907292
2020-12-21;1.03609101204897;1.0114219546138352;1.0373065803302466
2020-12-22;1.0393736703108192;1.0081314667082144;1.0404332994139578
2020-12-23;1.0433725572973194;1.0169089734380374;1.0407298747631257
2020-12-24;1.0476456496792228;1.021483571450157;1.045794873186299
2020-12-28;1.0629916525842584;1.0333497104639675;1.059581148556288
2020-12-29;1.0583572127942777;1.031979661293503;1.0551869076890743
2020-12-30;1.0558928120023998;1.0353908168114874;1.0502089663470018
2020-12-31;1.0606876921560853;1.043949873393365;1.0553480829777457
2021-01-04;1.0372428818114072;1.0125902989059812;1.0322625076942256
2021-01-05;1.0386081374961944;1.0063136155639016;1.0337535173972272
2021-01-06;1.0288151811092703;0.9919197675777309;1.021919757760727
2021-01-07;1.0487510709826153;0.9944632168221151;1.0459174414066723
2021-01-08;1.0583260957052354;1.010475607803425;1.0543587500114706
2021-01-11;1.050229586808702;1.0008443413002686;1.0467760160807658
2021-01-12;1.050502385372625;1.0017357340581374;1.0441779672132185
2021-01-13;1.0561400538254493;1.0033171100530787;1.0500430845218967
2021-01-14;1.0455400744782521;0.9903006417786114;1.0384272030085706
