Return;Risk;Weights
-20.709653107441664;2.146910562418172;0.7948717948717948,0.20512820512820512
-19.264807706228176;1.8524383589106737;0.06818181818181819,0.9318181818181819
-20.07818498902839;2.373199666528692;0.47727272727272724,0.5227272727272727
-20.712485380347903;2.1445883672508086;0.7962962962962963,0.2037037037037037
-20.15177626699603;2.373978554654024;0.5142857142857143,0.48571428571428577
-20.00866556314803;2.3661785164257143;0.4423076923076923,0.5576923076923076
-19.898036983430416;2.3422611588689124;0.38666666666666666,0.6133333333333334
-20.0405286333432;2.370156966445629;0.45833333333333337,0.5416666666666667
-20.05853819475786;2.371835958562021;0.4673913043478261,0.532608695652174
-19.99767829756349;2.3645070721175707;0.4367816091954023,0.5632183908045977
-20.421610952877373;2.3177409022366136;0.65,0.35
-20.41056508854305;2.32191323660225;0.6444444444444445,0.3555555555555556
-19.929396461686885;2.3506490558232978;0.40243902439024387,0.5975609756097561
-20.090599172221314;2.373809997291746;0.4835164835164836,0.5164835164835165
-20.755999391361904;2.107157500695136;0.8181818181818182,0.1818181818181818
-20.021931004617038;2.3679916084007697;0.4489795918367347,0.5510204081632654
-20.08360750424706;2.3734901869995126;0.48,0.52
-20.233831259193867;2.3667835576860594;0.5555555555555556,0.4444444444444445
-20.049733520288463;2.371066429064789;0.4629629629629629,0.537037037037037
-19.52689594179713;2.1384863061138097;0.19999999999999998,0.7999999999999999
-20.327645449430587;2.3480365039498525;0.6027397260273972,0.3972602739726027
-19.169009937365036;1.7063473643518576;0.02,0.98
-20.223902392376495;2.368108014188066;0.550561797752809,0.44943820224719105
-19.951971272731804;2.3558953566822245;0.4137931034482758,0.5862068965517241
-20.081367216269395;2.373374660097503;0.4788732394366198,0.5211267605633803
-20.371904563372915;2.335226342036351;0.625,0.375
-19.60263901151821;2.1969165631988474;0.23809523809523808,0.7619047619047619
-21.037970182732646;1.770339430721062;0.96,0.04
-19.427483162788217;2.046586586279373;0.15,0.85
-20.583342190369493;2.2371485534624695;0.7313432835820897,0.26865671641791045
-20.102661620223767;2.3742167581702227;0.4895833333333333,0.5104166666666666
-20.29880693174871;2.3550064945395817;0.5882352941176471,0.411764705882353
-20.025360016827754;2.368423875200384;0.4507042253521127,0.5492957746478874
-20.479758050033528;2.2930273056410906;0.6792452830188679,0.32075471698113206
-19.946336160081323;2.354647552799291;0.410958904109589,0.589041095890411
-19.887921297145297;2.3392806113201;0.381578947368421,0.6184210526315789
-19.874840668328336;2.3352263420363504;0.37499999999999994,0.625
-19.69731784866956;2.2571638112103134;0.28571428571428575,0.7142857142857143
-19.791996685820905;2.30422770980246;0.3333333333333333,0.6666666666666666
-21.11750040593978;1.6369708933934015;1.0,0.0
-19.5748883178704;2.176607120086207;0.22413793103448273,0.7758620689655171
-20.14081345427324;2.3742954112855017;0.5087719298245613,0.49122807017543857
-19.944103670096844;2.3541418538040744;0.4098360655737705,0.5901639344262295
-19.914082554779228;2.346713435456078;0.39473684210526316,0.6052631578947368
-20.175695131118474;2.372760830485509;0.5263157894736842,0.47368421052631576
-19.966405070047074;2.3589046793798816;0.42105263157894735,0.5789473684210527
-19.515850077462808;2.1291574761173337;0.19444444444444448,0.8055555555555556
-20.584931946963447;2.2361681623117424;0.7321428571428572,0.26785714285714285
-19.60014746317212;2.1951437058077268;0.23684210526315788,0.763157894736842
-20.285207372376767;2.3579198946476705;0.5813953488372093,0.41860465116279066
-19.88237193946538;2.3375882382371977;0.37878787878787884,0.6212121212121212
-19.180225738073734;1.7249147089906303;0.02564102564102564,0.9743589743589743
-21.053363129159834;1.7461681853857556;0.9677419354838709,0.03225806451612903
-20.322198173868454;2.3494358193502185;0.6,0.39999999999999997
-20.63549905316928;2.202965097438334;0.7575757575757576,0.24242424242424243
-20.322198173868454;2.3494358193502185;0.6,0.39999999999999997
-19.809437524243528;2.3115270423326484;0.34210526315789475,0.6578947368421053
-19.748537547456355;2.284204175667548;0.3114754098360656,0.6885245901639344
-19.321656656101307;1.9271939856066715;0.09677419354838708,0.9032258064516129
-20.06814329417901;2.372563607529794;0.47222222222222227,0.5277777777777778
-20.766631774143608;2.0974991861550367;0.8235294117647058,0.1764705882352941
-19.518251352318096;2.1312035351321876;0.1956521739130435,0.8043478260869565
-20.018727585314924;2.36757427688743;0.4473684210526316,0.5526315789473684
-20.394498376784032;2.3276886420561507;0.6363636363636365,0.36363636363636365
-20.862595844378458;2.0005874064476927;0.8717948717948718,0.12820512820512822
-20.189647801856566;2.371716748382489;0.5333333333333333,0.4666666666666667
-21.01808762693086;1.8004976165852342;0.95,0.049999999999999996
-19.96382124213261;2.3583856880725804;0.41975308641975306,0.5802469135802468
-19.744657267245234;2.2822873519243756;0.30952380952380953,0.6904761904761905
-19.87484066832834;2.335226342036351;0.37500000000000006,0.625
-19.861760039511378;2.330945289325415;0.368421052631579,0.6315789473684211
-20.071050100582774;2.372760830485509;0.47368421052631576,0.5263157894736842
-19.990822243838736;2.3633860158818623;0.4333333333333333,0.5666666666666667
-20.742357843641987;2.119250981782641;0.8113207547169811,0.18867924528301888
-19.96302942390076;2.3582249229747974;0.41935483870967744,0.5806451612903225
-20.65511538729366;2.1890080454945315;0.7674418604651162,0.23255813953488372
-21.11750040593978;1.6369708933934015;1.0,0.0
-19.60469724710846;2.1983736432855845;0.2391304347826087,0.7608695652173914
-19.734366089294;2.2770999254601345;0.30434782608695654,0.6956521739130435
-19.502042747044907;2.1171960564830377;0.1875,0.8125000000000001
-20.19541086150926;2.3712136416212397;0.5362318840579711,0.46376811594202905
-20.891562271828608;1.9676477403979895;0.8863636363636364,0.11363636363636365
-19.70648031678098;2.262279654758902;0.29032258064516125,0.7096774193548387
-20.636470830090186;2.202288073255817;0.7580645161290323,0.24193548387096772
-20.060453135465234;2.3719903382497427;0.46835443037974683,0.5316455696202531
-19.852246854917222;2.3276886420561507;0.36363636363636365,0.6363636363636365
-20.98922585237989;1.842255225468817;0.9354838709677419,0.06451612903225806
-19.75057469456719;2.2852019688232232;0.3125,0.6875
-20.337298849160945;2.345461629054476;0.6075949367088607,0.3924050632911392
-20.55830352401463;2.2520903442504308;0.71875,0.28125
-20.698920283796976;2.155586665944235;0.7894736842105262,0.21052631578947364
-19.704792493707824;2.2613464826147696;0.2894736842105263,0.7105263157894737
-20.15349770039878;2.373915029193049;0.5151515151515151,0.48484848484848486
-20.15349770039878;2.373915029193049;0.5151515151515151,0.48484848484848486
-19.12924482576147;1.6369708933934015;0.0,1.0
-20.563396391791727;2.2491268272185123;0.7213114754098361,0.27868852459016397
-20.30180580894355;2.3543319216190435;0.5897435897435898,0.41025641025641024
-20.891562271828608;1.9676477403979895;0.8863636363636364,0.11363636363636365
-20.69892028379698;2.1555866659442353;0.7894736842105263,0.21052631578947367
-19.771604320896;2.2951605900307444;0.32307692307692304,0.6769230769230768
-19.939274876945227;2.353025984173819;0.4074074074074074,0.5925925925925926
-19.744657267245234;2.2822873519243756;0.30952380952380953,0.6904761904761905
-19.23970346910471;1.8167544496241963;0.05555555555555555,0.9444444444444444
-19.902455329164148;2.343520803740866;0.38888888888888895,0.6111111111111112
-19.29155140373521;1.8886129093769999;0.0816326530612245,0.9183673469387755
-19.21039811474834;1.7728455759629165;0.04081632653061225,0.9591836734693877
-20.883587984742334;1.9768973378662835;0.8823529411764707,0.11764705882352942
-19.294932790776333;1.8930569403992237;0.08333333333333334,0.9166666666666667
-19.12924482576147;1.6369708933934015;0.0,1.0
-20.489630222725573;2.288365776044206;0.6842105263157894,0.31578947368421045
-20.773379247831993;2.091262803737669;0.8269230769230769,0.17307692307692307
-20.440647442474827;2.310161596193948;0.6595744680851064,0.34042553191489366
-19.72887746105334;2.27427145982291;0.30158730158730157,0.6984126984126984
-20.584065981989504;2.236702669237224;0.7317073170731707,0.2682926829268293
-19.870628262438128;2.3338725132378273;0.3728813559322034,0.6271186440677966
-20.67566583256682;2.173721968881557;0.7777777777777778,0.2222222222222222
-20.064894510551262;2.3723305449634644;0.47058823529411764,0.5294117647058824
-19.878914962550013;2.3365134083921064;0.3770491803278689,0.6229508196721312
-20.644106220183037;2.1969165631988474;0.7619047619047619,0.23809523809523808
-19.946336160081323;2.354647552799291;0.410958904109589,0.589041095890411
-20.53271935294616;2.2664007728352913;0.7058823529411765,0.2941176470588236
-20.661858502148917;2.184067902201142;0.7708333333333334,0.22916666666666669
-20.843258256949667;2.021587367189402;0.8620689655172414,0.13793103448275865
-20.445414012640068;2.3081863351415963;0.6619718309859155,0.3380281690140845
-20.35278672125581;2.3410756519626403;0.6153846153846153,0.3846153846153846
-20.833463894485735;2.0319307480102164;0.8571428571428572,0.14285714285714288
-19.223923662912817;1.7934229494955316;0.047619047619047616,0.9523809523809523
-19.981354360123603;2.361739067636711;0.4285714285714285,0.5714285714285714
-20.279079378153746;2.359154805320632;0.5783132530120482,0.4216867469879518
-20.137780264982354;2.3743563099041336;0.5072463768115942,0.4927536231884059
-21.071261904075165;1.717115082932595;0.9767441860465116,0.023255813953488372
-19.720347836084755;2.2697900287882598;0.2972972972972973,0.7027027027027027
-20.221692946738564;2.3683856922815414;0.5494505494505495,0.45054945054945056
-20.387120805057954;2.330224721851266;0.6326530612244898,0.3673469387755102
-19.999106642089483;2.364733068800079;0.43750000000000006,0.5625
-20.728493879383155;2.1312035351321876;0.8043478260869565,0.1956521739130435
-20.67566583256682;2.173721968881557;0.7777777777777778,0.2222222222222222
-19.770617593560925;2.294707189745684;0.32258064516129037,0.6774193548387096
-20.44455236341789;2.308545708250752;0.6615384615384615,0.3384615384615384
-19.924547057832793;2.349435819350219;0.39999999999999997,0.6
-20.123372615850627;2.374487164151878;0.5,0.5
-20.199843984319024;2.370798026684698;0.5384615384615385,0.4615384615384615
-20.686711696901146;2.165219865365057;0.7833333333333333,0.21666666666666667
-19.9676658535475;2.359154805320632;0.4216867469879518,0.5783132530120482
-19.924547057832793;2.349435819350219;0.39999999999999997,0.6
-20.67566583256682;2.173721968881557;0.7777777777777778,0.22222222222222224
-20.584931946963447;2.2361681623117424;0.7321428571428572,0.26785714285714285
-20.25417890402025;2.3636768931050214;0.5657894736842105,0.4342105263157895
-19.490745840339343;2.107157500695136;0.18181818181818182,0.8181818181818181
-19.71200939236546;2.2653075404614484;0.2931034482758621,0.7068965517241379
-20.958439959525517;1.884319690127441;0.92,0.08
-19.820811984084365;2.316063275599677;0.34782608695652173,0.6521739130434784
-19.350162112447947;1.9617517648936997;0.1111111111111111,0.8888888888888888
-19.725721499814966;2.2726255298260765;0.3,0.7000000000000001
-19.413281337215516;2.0319307480102164;0.14285714285714288,0.8571428571428572
-20.900599797193053;1.9569944311121574;0.8909090909090909,0.10909090909090907
-20.51237914240725;2.2770999254601345;0.6956521739130435,0.30434782608695654
-20.65511538729366;2.1890080454945315;0.7674418604651162,0.23255813953488372
-20.059917650525787;2.3719476353904447;0.46808510638297873,0.5319148936170213
-19.87484066832834;2.335226342036351;0.37500000000000006,0.625
-20.394498376784032;2.3276886420561507;0.6363636363636365,0.36363636363636365
-20.67566583256682;2.173721968881557;0.7777777777777778,0.22222222222222224
-20.590004027525126;2.2330147215149925;0.7346938775510204,0.2653061224489796
-20.05063155803922;2.3711494112577096;0.46341463414634143,0.5365853658536585
-19.76953052107313;2.294206106425287;0.3220338983050847,0.6779661016949152
-19.321656656101307;1.9271939856066715;0.09677419354838708,0.9032258064516129
-21.000544195341053;1.8261562659754818;0.9411764705882353,0.058823529411764705
-20.06992488520067;2.3726857526888927;0.4731182795698925,0.5268817204301075
-20.493733949413247;2.286387699708527;0.6862745098039215,0.3137254901960784
